Order,SKU,Member,Delivery Date
7585530,15668520,SWOSCLE,02/06/13
8170383,34989441,SSRRSOZ,17/02/14
8230690,15669777,SSWREEE,14/01/14
8214422,15670168,SWHCOOW,07/02/14
8083432,34986123,SSLLLZC,04/04/14
8256966,93073679,SSNNSRR,29/01/14
7618192,15670172,SWLLREW,08/05/13
8065871,15668458,SSWCOLR,29/03/14
8180759,15669878,SSWWLCZ,22/02/14
8066070,7572430,SSCZESH,30/03/14
8120159,15668381,SWLZRZH,23/03/14
8287030,15669760,SWOHOZL,10/01/14
7448378,15669789,SWORWHW,20/08/13
8072719,29247044,SWNZOLC,31/03/14
8108141,15669863,SSRCEWZ,19/03/14
7559166,15668685,SWOOOLL,29/06/13
7489019,15669860,SWESSEO,06/08/13
7863862,15669772,SWNESWN,03/07/12
8089212,34990372,SWCNZWN,06/04/14
8149114,34992815,SSLLREN,07/03/14
7707108,15668459,SWONWWS,22/01/13
7565166,15668458,SWLWHWC,02/07/13
8384422,7541573,SSWNRHC,18/11/13
8131359,15669885,SWHRCEO,28/02/14
8162986,15669862,SSSWSNS,13/02/14
8074475,15669799,SWNRLOS,01/04/14
8102389,15668377,SSCZSEE,15/03/14
8142419,15670009,SSNRHCO,04/03/14
8346285,34986118,SWHENWW,03/12/13
8092443,7613346,SWOZSCZ,07/04/14
8152823,21408953,SWEONLR,09/03/14
7345164,92435740,SWCENNH,16/10/13
8080057,15668381,SSCLSCL,03/04/14
7565166,15668416,SWLWHWC,02/07/13
8120159,7735760,SWLZRZH,23/03/14
7421133,7572303,SWEHORE,13/09/13
8131359,15668458,SWHRCEO,28/02/14
8124069,15668685,SSONROH,25/03/14
8136707,15669790,SWOHNSL,02/03/14
8209386,15669832,SSCRSZS,05/02/14
8112726,15669832,SWREHOR,20/03/14
7764086,15669886,SWLEWSE,13/01/13
7785531,15669816,SWOCLHE,11/11/12
7724198,15670260,SSZZZOE,12/02/13
8139620,15669771,SWCHOEW,03/03/14
7409204,15669763,SWLCNOE,05/09/13
8088038,15669860,SWLNZNC,06/04/14
8087273,15668379,SSCRSWO,06/04/14
8213907,34986126,SSNZRZN,08/02/14
8078727,15669860,SSHOZRZ,03/04/14
8356240,15668378,SWHNLCN,02/11/13
7654205,15669856,SWRHNWW,13/04/13
8150875,7757971,SWOSOHE,08/03/14
8109601,15668519,SSEWSWC,18/03/14
8127465,15669778,SSEWSRE,26/02/14
7821280,15669885,SWLLZCE,09/09/12
7717595,15668379,SWLZNHZ,03/02/13
8106238,15670253,SSWOOZW,17/03/14
8081317,15669886,SWLZSNO,03/04/14
8342609,15669772,SWLCOHC,01/12/13
8355025,15669817,SWOCHZL,08/12/13
7633637,15668470,SWERHHR,20/05/13
8083038,15669799,SSCWNSN,04/04/14
7608368,15669781,SWRCSSC,04/05/13
8081573,34986449,SWORNSW,04/04/14
8172842,7627858,SWLERES,18/02/14
7381183,7624788,SWOZCRC,28/09/13
7809643,7579698,SWLHWZE,08/08/12
7826605,15669761,SWNRWOH,24/09/12
8276533,34987566,SWHELSW,05/01/14
8220172,7585573,SSLOZSC,10/02/14
8075344,7569802,SWOSZOL,01/04/14
8106290,15669832,SWLCEZW,17/03/14
7862618,15669778,SWNNNES,02/07/12
8102389,34986113,SSCZSEE,15/03/14
8256944,15668462,SSSZCHS,29/01/14
8133880,15670157,SSLWESO,01/03/14
8200309,15670008,SWOORON,02/02/14
8096359,15669970,SSWRLZN,13/03/14
7604413,15668379,SWNOLEE,28/04/13
8072719,15669875,SWNZOLC,31/03/14
8120853,7587492,SSLSNCH,23/03/14
8064356,7585573,SWHERHH,28/03/14
8322799,15669954,SWOCNCN,25/12/13
7863862,7586147,SWNESWN,03/07/12
8061961,15669863,SSSCOOH,27/03/14
7515099,7547296,SWHLSNW,12/07/13
7819500,15669832,SWLLLCW,07/09/12
8080596,15669878,SSNLZHH,03/04/14
8105205,15669873,SWRNHCS,17/03/14
8086954,15669763,SSOEZWZ,06/04/14
8076206,34989594,SWOEZES,01/04/14
8156893,15670248,SSZZLOE,10/03/14
8129915,15668378,SWEORLR,28/02/14
7503858,15668684,SWLRZNL,14/08/13
7742018,15670260,SWLRHRW,12/12/12
8145266,7625765,SWNRHWZ,06/03/14
7584632,15669780,SWLNECZ,03/06/13
8069362,15668380,SSRENSZ,30/03/14
8230690,15669860,SSWREEE,14/01/14
8083081,15668478,SSNCWZO,04/04/14
7806900,15668379,SWLWCSW,31/07/12
7587814,15670251,SWCSEHL,03/06/13
8089212,34989441,SWCNZWN,06/04/14
8328427,15669876,SWLWNSW,24/11/13
8170383,7580823,SSRRSOZ,17/02/14
8106290,15668416,SWLCEZW,17/03/14
8194178,15668449,SWOOLLE,30/01/14
7605272,7753738,SWOZLCN,29/04/13
7824172,15668467,SWLROCE,15/09/12
8181093,15670269,SSRHSRW,22/02/14
8070264,15668448,SSRWCWC,30/03/14
8289409,7753739,SSZLLCR,11/01/14
7793755,15668379,SWLWCLW,25/11/12
8162986,15669767,SSSWSNS,13/02/14
8122344,15669856,SSLWHRH,24/03/14
7476772,15669863,SWCZZNN,29/07/13
8074536,15670270,SSEOLNO,02/04/14
7734225,15669867,SWNSWNZ,02/12/12
7783825,15669781,SWNSRNC,08/11/12
8089133,7580823,SWONORL,06/04/14
7719372,15669983,SWLNNNE,06/02/13
7406145,15669764,SWLSWLN,04/09/13
7526450,15670259,SWNLZNW,20/07/13
7707108,15670157,SWONWWS,22/01/13
8170027,7642814,SWERWCW,16/02/14
7653432,15669956,SWNWCOL,13/04/13
7782046,15670157,SWNHZEE,04/11/12
8193965,34986129,SWLWNLC,30/01/14
8355249,7569799,SSNENRR,08/12/13
7399616,15670168,SSLWESH,08/10/13
8120435,15669878,SWHRZSW,23/03/14
8183211,7570567,SSCNLEC,23/02/14
7760313,93289486,SWNHHOR,08/01/13
7749985,15669869,SWLRHSR,26/12/12
8182610,15669823,SSERNHC,22/02/14
8133653,15668478,SSERELN,01/03/14
7381183,7580802,SWOZCRC,28/09/13
8095702,15669860,SWRLOEC,12/03/14
8270508,34992815,SWOCEOZ,02/01/14
7663653,15669769,SWNEOSH,22/04/13
7707108,15670251,SWONWWS,22/01/13
7764086,15669764,SWLEWSE,13/01/13
7362980,15668467,SWEOLLO,26/10/13
7487417,15669781,SWNWHRL,04/08/13
7341985,34987567,SWCCWNZ,13/10/13
8380659,15669864,SWENOEW,16/11/13
8096457,7574197,SWEOOLR,12/03/14
8083357,15669863,SSSHLNW,04/04/14
8120360,15668375,SSHEECO,24/03/14
8289766,7587674,SSLZROS,12/01/14
8344961,7574197,SSRZOES,03/12/13
7757206,15669824,SWOCOOS,05/01/13
8338252,92388008,SSZSNZN,29/11/13
8141498,15669769,SWLRHRL,04/03/14
8177589,21408947,SSOSHZS,20/02/14
8153266,15669885,SSZLEOL,09/03/14
8342762,15669860,SSWZRHL,02/12/13
8265380,34992815,SSRWONW,30/12/13
7525683,15670260,SWOCNOH,19/07/13
8081317,7572302,SWLZSNO,03/04/14
8145266,15669776,SWNRHWZ,06/03/14
8108886,15669769,SWLHONH,18/03/14
7431323,15670250,SWOECRH,20/09/13
8353022,7632452,SSZWROC,06/12/13
7783137,15669856,SWOERZO,05/11/12
8131353,34992815,SWEZZLR,28/02/14
7489019,15668381,SWESSEO,06/08/13
8356860,15669823,SWOSECL,01/11/13
8131815,15668684,SSSWORL,01/03/14
8110925,15668685,SSSREHN,19/03/14
8099217,7571385,SSRLORR,14/03/14
7517755,15668687,SSZEWNZ,14/07/13
8182845,15668473,SWHOOOO,23/02/14
8077922,15669817,SWNNRHE,02/04/14
7682148,15669860,SWEEWEL,09/03/13
8342762,34986120,SSWZRHL,02/12/13
8374672,15669859,SWNZWNZ,13/11/13
8065270,15669767,SSRNLNN,28/03/14
8153963,15670270,SWEWCER,09/03/14
8226177,15668465,SWHONHS,13/01/14
8075477,15669996,SSZLCSE,01/04/14
8115812,7611899,SSCZOHR,21/03/14
8096811,15668380,SSLZLCS,13/03/14
7618192,15668416,SWLLREW,08/05/13
8254821,7580802,SWNHEEW,28/01/14
8079383,93141022,SWNEHEC,03/04/14
7710637,15669772,SWCSHZW,26/01/13
8075370,15669765,SWEWWZL,02/04/14
7710637,15669778,SWCSHZW,26/01/13
8141684,34986134,SSNCONE,04/03/14
7486173,7586553,SSZLZRN,03/08/13
7345164,7625765,SWCENNH,16/10/13
8099849,34986125,SSCEWZO,14/03/14
8089178,34986123,SWCNZWC,06/04/14
8096811,15668462,SSLZLCS,13/03/14
8142419,15669873,SSNRHCO,04/03/14
7618684,15669824,SWOCCHL,10/05/13
8209386,15668416,SSCRSZS,05/02/14
7592127,93141023,SWEENCL,08/06/13
8283042,15668449,SWRHLLZ,08/01/14
8353022,93141022,SSZWROC,06/12/13
8080319,15669880,SSNSECH,03/04/14
7749985,15668460,SWLRHSR,26/12/12
8099163,15668460,SSRCCNE,14/03/14
7362980,15668449,SWEOLLO,26/10/13
7602550,15668519,SWOSEOE,28/04/13
8268678,34992815,SSWNEHR,01/01/14
8228587,15668478,SSNCZRL,13/01/14
8141498,15668542,SWLRHRL,04/03/14
7559542,15668460,SWHEWCO,29/06/13
8131815,15668465,SSSWORL,01/03/14
8108886,15669867,SWLHONH,18/03/14
7526450,15668478,SWNLZNW,20/07/13
8149245,15669875,SSWELWZ,07/03/14
7719372,15669969,SWLNNNE,06/02/13
7686461,7587658,SWLOHSN,13/03/13
8124751,7653522,SSNLSZE,25/03/14
8277630,15668380,SWNHZNC,05/01/14
7771245,15668689,SWNEWHL,14/10/12
7544462,15669764,SWCRRCE,19/06/13
8249884,7580089,SWLOHSW,25/01/14
8091771,15669818,SSCRENS,07/04/14
8353022,15668688,SSZWROC,06/12/13
8352895,34987566,SSRSRSO,06/12/13
7808939,7580811,SWNHESZ,07/08/12
7525683,15668474,SWOCNOH,19/07/13
7480050,15669789,SWLSLOE,31/07/13
8200309,15670010,SWOORON,02/02/14
8273657,15669761,SWNRZEW,03/01/14
8209695,15670267,SWOESOR,06/02/14
7762269,15670157,SWLLWNL,10/01/13
7516989,15668379,SWRHHWL,13/07/13
8113176,15668379,SSWSCEN,21/03/14
7618684,7587694,SWOCCHL,10/05/13
8109885,15669881,SWCHLSS,18/03/14
8336250,34987566,SSOCCZS,28/11/13
7611197,7587651,SWOLLLE,05/05/13
8075791,15669887,SWEHZZZ,02/04/14
7801245,15669864,SWLOCLW,16/07/12
8232216,15669875,SSSLEZO,16/01/14
8274447,15669817,SWNNSSH,04/01/14
7410387,15668462,SWOWNNR,06/09/13
7808939,15669860,SWNHESZ,07/08/12
8228490,15669860,SWOWELS,13/01/14
7749985,15668467,SWLRHSR,26/12/12
7756215,15668467,SWNNZOR,04/01/13
7402891,7735760,SWOLLEN,10/10/13
7482551,7578347,SWHWNWL,02/08/13
8249884,15669886,SWLOHSW,25/01/14
8152823,15669775,SWEONLR,09/03/14
8083357,21409124,SSSHLNW,04/04/14
8152823,7598777,SWEONLR,09/03/14
8362837,15669773,SWLSCOZ,06/11/13
8120485,15669860,SWHSWOW,24/03/14
7820348,15668467,SWLONLL,09/09/12
8205042,15668688,SSSNESR,04/02/14
7809643,15669879,SWLHWZE,08/08/12
8283998,15669783,SSLRELN,09/01/14
8074318,15668458,SSHCNOH,02/04/14
7489019,34987570,SWESSEO,06/08/13
8089497,15669817,SWHOECO,06/04/14
8101260,15668381,SSNORLN,15/03/14
8071210,15669860,SWNORRH,31/03/14
8119388,15668381,SWLSCLN,23/03/14
8330753,15669866,SWLLWOS,25/11/13
8249884,15669760,SWLOHSW,25/01/14
7348817,7580855,SSSELNE,17/10/13
7607068,15669857,SWOSCER,29/04/13
7699855,15668688,SWOHOZR,27/03/13
8336683,15669780,SWNCNOL,29/11/13
7435518,15668688,SSLSZZE,22/09/13
7753069,7587491,SWLEOSS,31/12/12
7728660,15670182,SWOZOSC,16/02/13
7757462,15668451,SWRLWHS,04/01/13
8106023,7587494,SSLOEEO,17/03/14
8107580,15669976,SSZNNNN,17/03/14
8275225,15669817,SWHECOO,05/01/14
8157592,15669861,SSZRWON,11/03/14
7813835,15669859,SWNLOLC,23/08/12
7497374,15670269,SSWWZLW,10/08/13
8276533,7587674,SWHELSW,05/01/14
8158290,15669884,SSWNZEC,11/03/14
8131815,15669856,SSSWORL,01/03/14
8085797,15668468,SWRCLON,07/04/14
8150141,92435927,SWHHSNW,08/03/14
8073939,7577678,SSOSOEC,31/03/14
7397712,15668453,SSSZHZE,07/10/13
8141158,15669772,SWOCCOL,04/03/14
8128430,7757971,SWCEHCR,27/02/14
8189678,7623116,SWHRCNL,25/02/14
8149245,15670267,SSWELWZ,07/03/14
8246331,15669835,SWHLESR,24/01/14
8132311,7569806,SSRLWLN,28/02/14
7703517,15669777,SWNNNNE,17/01/13
7672439,7572305,SWLLNRL,26/02/13
7533198,15668466,SSSZWHO,23/07/13
8273082,15668457,SSLOLSS,04/01/14
7703098,15669869,SWRENHO,16/01/13
7552098,15668379,SWLRCRW,24/06/13
8104047,15669781,SWOZECO,16/03/14
8080319,15669767,SSNSECH,03/04/14
8308098,15669765,SWCECRN,17/12/13
7637074,15668478,SWOECCE,29/03/13
7476772,15670269,SWCZZNN,29/07/13
8279863,21409002,SWNRHOZ,07/01/14
8061560,15668465,SSWLLSL,26/03/14
8131353,15669764,SWEZZLR,28/02/14
8176127,15668448,SWNLWHR,19/02/14
8143429,15670271,SWNRSWS,05/03/14
7431803,93141023,SSSNORC,19/09/13
7764985,7575499,SWOHWWN,12/01/13
8061159,15668478,SWHRRNR,26/03/14
8320908,15668478,SWHRZHH,24/12/13
8087471,15669866,SSCRESN,06/04/14
7782046,15668474,SWNHZEE,04/11/12
8122275,15668477,SSSCOCW,24/03/14
7559542,15668381,SWHEWCO,29/06/13
8383377,15669875,SWNZWRC,17/11/13
7793755,15668474,SWLWCLW,25/11/12
8158818,15669760,SWRLSWR,11/03/14
7672439,7572307,SWLLNRL,26/02/13
7448398,15668378,SWRNCSS,20/08/13
8108248,15669869,SSSELZZ,18/03/14
8123487,7624790,SSLSLHL,26/03/14
8154900,15669774,SSZSWHS,09/03/14
8064972,15669835,SSORZCC,28/03/14
8279863,15669772,SWNRHOZ,07/01/14
7582160,15668688,SWLSEEZ,31/05/13
7387995,15669887,SSRSNWR,01/10/13
8253846,7572430,SWECOEO,27/01/14
8108248,15668467,SSSELZZ,18/03/14
8061163,15670267,SWOEOHC,27/03/14
8289409,15669857,SSZLLCR,11/01/14
8230690,34986328,SSWREEE,14/01/14
8126177,15669760,SWLZLWS,26/03/14
7830638,15669881,SWLSZWZ,02/10/12
8213861,15669829,SSZCRCO,07/02/14
8143429,15669835,SWNRSWS,05/03/14
7480357,15669961,SWLNWOC,02/08/13
7552991,15669815,SWOLZSC,24/06/13
8279743,15669885,SWCCLHS,07/01/14
8078249,15669996,SWNHHOE,02/04/14
8202458,15668465,SSRCRSO,03/02/14
7806900,15668478,SWLWCSW,31/07/12
8083255,15669818,SSHHZRO,06/04/14
7585530,15668688,SWOSCLE,02/06/13
7347668,15669817,SSZZLEO,17/10/13
8344961,15669780,SSRZOES,03/12/13
7783137,15668456,SWOERZO,05/11/12
8287522,15669772,SSWZSSN,11/01/14
8172528,15668458,SSZWSNR,17/02/14
7369894,15670260,SWLRWZO,30/10/13
8330753,15669885,SWLLWOS,25/11/13
8065445,15668375,SSHCESW,28/03/14
8113176,15669859,SSWSCEN,21/03/14
8339302,15668684,SSZCOCE,30/11/13
8112695,15670241,SWLNCNW,20/03/14
8282341,15668377,SSRORNN,08/01/14
8144965,15670241,SSCHNCE,06/03/14
7584632,7634445,SWLNECZ,03/06/13
8076206,34990046,SWOEZES,01/04/14
7626754,15669863,SWNZLOO,15/05/13
7771245,15668460,SWNEWHL,14/10/12
8114869,15668466,SSRZESC,21/03/14
7450162,15668455,SWOZZCZ,22/08/13
8082957,15669786,SWNCOOR,04/04/14
7439628,7587668,SSZZLHW,16/08/13
8170027,15668495,SWERWCW,16/02/14
8077366,15669878,SSCWORR,02/04/14
7501860,7628086,SWNNZHH,13/08/13
8087997,15668416,SWCOLON,06/04/14
8109601,21409129,SSEWSWC,18/03/14
8190023,15668381,SSRHCRS,26/02/14
7526450,15668687,SWNLZNW,20/07/13
8199996,34989501,SWRHNSN,02/02/14
8079383,15669887,SWNEHEC,03/04/14
7819500,15669789,SWLLLCW,07/09/12
8131353,15669862,SWEZZLR,28/02/14
8276422,15669771,SWEZEOZ,05/01/14
8247472,15668462,SSRRCCE,24/01/14
8101152,15668380,SWRHRLL,16/03/14
7382432,15668457,SWRHSEW,29/09/13
8314193,15669873,SSWECLS,21/12/13
8112726,15669786,SWREHOR,20/03/14
8131815,15669777,SSSWORL,01/03/14
7381183,15668379,SWOZCRC,28/09/13
7631002,15669884,SWHRWCO,19/05/13
8245100,15668462,SSCLWOR,22/01/14
8081317,15669761,SWLZSNO,03/04/14
7440894,15669863,SSWZHRR,16/08/13
7642371,15668684,SWOOLNC,03/04/13
8088038,34989501,SWLNZNC,06/04/14
7654205,15669863,SWRHNWW,13/04/13
8162986,15669799,SSSWSNS,13/02/14
8352430,15668379,SWCEWOZ,06/12/13
8106238,15668377,SSWOOZW,17/03/14
8150875,15668460,SWOSOHE,08/03/14
7703517,15669814,SWNNNNE,17/01/13
8064480,15669856,SSRCENS,28/03/14
8176873,7736902,SWHHREO,21/02/14
7414189,93289486,SSSWOZW,09/09/13
7830638,15669777,SWLSZWZ,02/10/12
8146703,34986123,SSOHWLN,06/03/14
8181093,34987566,SSRHSRW,22/02/14
8226177,34986125,SWHONHS,13/01/14
8088038,15669875,SWLNZNC,06/04/14
8179947,15669998,SWOCELW,21/02/14
8089109,93176429,SSLNHHC,06/04/14
8070166,15669785,SSZWOZH,30/03/14
8353451,15669778,SSNOWZE,06/12/13
8138170,15669790,SWEWHLO,04/03/14
8374672,15669887,SWNZWNZ,13/11/13
8071210,15669819,SWNORRH,31/03/14
8101071,15669861,SSEHLRW,15/03/14
8158290,15669857,SSWNZEC,11/03/14
7690884,7579535,SWOSSRS,17/03/13
8205178,15669881,SSWEZCZ,04/02/14
8201626,21408952,SSNHNOE,03/02/14
8255466,15668375,SSWWZNR,28/01/14
8109052,15669828,SWCLWHL,18/03/14
7605272,15669859,SWOZLCN,29/04/13
8138408,15669794,SWNZHSH,03/03/14
7412276,21409002,SWCOSLL,07/09/13
8083357,7578354,SSSHLNW,04/04/14
8081317,7571385,SWLZSNO,03/04/14
8067980,15669832,SSOSOCH,29/03/14
8308098,15668471,SWCECRN,17/12/13
8133840,15668377,SWCZCSZ,01/03/14
8356860,7574197,SWOSECL,01/11/13
8096786,15669812,SSLLLRR,13/03/14
8070481,15669880,SSSWCLL,30/03/14
8157592,15669863,SSZRWON,11/03/14
8331278,7569802,SWCEZWH,26/11/13
8122344,7624792,SSLWHRH,24/03/14
8183211,21409002,SSCNLEC,23/02/14
7552098,15668463,SWLRCRW,24/06/13
8085797,15668381,SWRCLON,07/04/14
8282484,15669769,SSSCNCC,09/01/14
7788465,15668519,SWNNWZZ,16/11/12
7717595,7587649,SWLZNHZ,03/02/13
8139913,15669861,SWHOZCE,04/03/14
8069214,15669864,SSNOZHH,30/03/14
8157592,15669821,SSZRWON,11/03/14
8138811,15668458,SWELRWN,03/03/14
8065270,15669872,SSRNLNN,28/03/14
7721190,15669777,SWOHCHL,09/02/13
8106451,15668381,SSCSENO,17/03/14
8063588,15668379,SWENCHZ,27/03/14
8195898,15670196,SSCLLWS,31/01/14
8096457,15670007,SWEOOLR,12/03/14
8138170,15669864,SWEWHLO,04/03/14
8169684,15669769,SWLCCWC,17/02/14
8282484,15669760,SSSCNCC,09/01/14
8343369,15670267,SSZLHHE,01/12/13
7631002,15668688,SWHRWCO,19/05/13
8130134,15668380,SWONECO,27/02/14
8204496,15669799,SSZHOEE,04/02/14
7587814,15669765,SWCSEHL,03/06/13
8073815,15669778,SSSZCCN,31/03/14
8279511,15669818,SWNHHRL,06/01/14
8105205,15669821,SWRNHCS,17/03/14
8286457,92387970,SSSNLOO,10/01/14
8256944,15669834,SSSZCHS,29/01/14
8078249,7580823,SWNHHOE,02/04/14
8089417,15669884,SWCCRWR,06/04/14
8141684,21409004,SSNCONE,04/03/14
8078727,15669961,SSHOZRZ,03/04/14
7824172,15668685,SWLROCE,15/09/12
8228490,15668416,SWOWELS,13/01/14
8140923,15669764,SWNZHZN,04/03/14
8158290,15670267,SSWNZEC,11/03/14
8362837,15669883,SWLSCOZ,06/11/13
7733315,15669871,SWOCEOC,03/12/12
8192504,15669786,SWESLWC,29/01/14
8087274,15668381,SSNNLRW,05/04/14
7717595,15669874,SWLZNHZ,03/02/13
7717595,15669764,SWLZNHZ,03/02/13
8140923,34986129,SWNZHZN,04/03/14
8354716,15668416,SWEEZHL,08/12/13
7482551,15669856,SWHWNWL,02/08/13
8083038,15669860,SSCWNSN,04/04/14
8088038,15668375,SWLNZNC,06/04/14
7382432,15668380,SWRHSEW,29/09/13
8082957,15669771,SWNCOOR,04/04/14
7414189,15668688,SSSWOZW,09/09/13
8289409,7753732,SSZLLCR,11/01/14
7377566,15669961,SWRHCCH,26/09/13
7771136,7585571,SWOCNOC,14/10/12
8199996,15669817,SWRHNSN,02/02/14
8344961,15669821,SSRZOES,03/12/13
7470681,15669878,SWLSZSE,03/09/13
8183211,15668462,SSCNLEC,23/02/14
8129915,15669812,SWEORLR,28/02/14
8226887,7579697,SSLZROW,13/01/14
7771136,15669878,SWOCNOC,14/10/12
8213907,15669775,SSNZRZN,08/02/14
8106715,93141022,SSNOSCZ,18/03/14
8120360,15669782,SSHEECO,24/03/14
7626754,15668379,SWNZLOO,15/05/13
7341985,15668455,SWCCWNZ,13/10/13
8149245,15669884,SSWELWZ,07/03/14
8265546,34992815,SWNCLZZ,30/12/13
7531263,15668457,SWEEZCC,22/07/13
8153361,15668381,SWHEEOS,09/03/14
7347668,15668378,SSZZLEO,17/10/13
7734225,15669884,SWNSWNZ,02/12/12
7699855,15668454,SWOHOZR,27/03/13
8243363,15669860,SSZLNCH,22/01/14
8213907,34987565,SSNZRZN,08/02/14
8230241,15668381,SWCCZRH,15/01/14
7476772,15669765,SWCZZNN,29/07/13
7497186,34987249,SWORWZH,10/08/13
8143536,15669780,SSSZEOW,04/03/14
7493590,92388173,SWRELHW,07/08/13
8126177,15669988,SWLZLWS,26/03/14
8182610,15669775,SSERNHC,22/02/14
8166326,7572433,SSLRHNL,15/02/14
8247161,15669862,SWONLWN,23/01/14
8082912,15669835,SWLOZWE,05/04/14
8191090,15669821,SSWNLNH,26/02/14
7347668,15669874,SSZZLEO,17/10/13
8143429,15669760,SWNRSWS,05/03/14
7830638,15669864,SWLSZWZ,02/10/12
7775378,7587679,SWOCEEH,23/10/12
8120485,15668478,SWHSWOW,24/03/14
8172528,93141023,SSZWSNR,17/02/14
8101018,15668480,SSLREZW,15/03/14
7745973,15669869,SWNRHHO,19/12/12
8176873,7629391,SWHHREO,21/02/14
7618684,7587691,SWOCCHL,10/05/13
7793755,7590864,SWLWCLW,25/11/12
8076206,15668467,SWOEZES,01/04/14
8286457,15669864,SSSNLOO,10/01/14
7654205,15669861,SWRHNWW,13/04/13
8226887,7572240,SSLZROW,13/01/14
8157592,7613346,SSZRWON,11/03/14
7416338,15669822,SWEOHHL,09/09/13
8075477,7587649,SSZLCSE,01/04/14
7765977,15669786,SWNNRHC,13/01/13
7653432,15668379,SWNWCOL,13/04/13
8243363,15669792,SSZLNCH,22/01/14
7753069,15668463,SWLEOSS,31/12/12
7607068,15669887,SWOSCER,29/04/13
8106023,7587670,SSLOEEO,17/03/14
7382432,15668468,SWRHSEW,29/09/13
8232216,15669776,SSSLEZO,16/01/14
8176127,15669863,SWNLWHR,19/02/14
8071092,15668466,SSLNESH,30/03/14
8354716,15668462,SWEEZHL,08/12/13
8076206,15668458,SWOEZES,01/04/14
8262498,7569806,SWRHZSH,29/12/13
7694372,15670160,SWLHHWS,21/03/13
7637074,15668688,SWOECCE,29/03/13
8206519,34986113,SWORZLW,05/02/14
7414189,15668457,SSSWOZW,09/09/13
8139913,7570487,SWHOZCE,04/03/14
7633637,15669778,SWERHHR,20/05/13
8130134,15669821,SWONECO,27/02/14
